Gender,Age Group,Living Situation,Parent Education Level,Family Financial Status,Class,Department,Performance in English,Performance in Maths,Performance in Biology,Performance in Physics,Performance in Chemistry,Performance in Lit in English,Performance in Government,Performance in CRS,Performance in Commerce,Performance in Accounting,Performance in Economics,Study Hours per Week,Extra Tutoring,School Attendance,Experienced Bullying,Peer Pressure,Parents Attend Parent-Teacher Meeting,Confidence in Academic Ability,Access to Counseling,Motivation for Attending School,Last Exam Performance,Foundational Knowledge
Female,15 - 16,Both parents,Post-graduate education,We are financially comfortable,SS3,Humanities,Good,Fair,Nil,Nil,Nil,Good,Good,Good,Nil,Nil,Nil,Less than 5 hours,No,Every day,Never,Never,Sometimes,Not confident,I'm not sure,To prepare for a good career,60% - 69%,Average
Female,15 - 16,Single parent,Higher Education,We can afford some luxuries,SS3,Humanities,Fair,Good,Nil,Nil,Nil,Good,Good,Excellent,Nil,Nil,Nil,Less than 5 hours,No,Every day,Never,Never,Sometimes,Somewhat confident,No,To prepare for a good career,70% - 100%,Average
Male,17 - 18,Single parent,Secondary school,We are financially comfortable,SS3,Humanities,Good,Fair,Nil,Nil,Nil,Good,Excellent,Excellent,Nil,Nil,Nil,Less than 5 hours,No,Every day,Occasionally,Never,Regularly,Somewhat confident,Yes,To prepare for a good career,40% - 59%,Weak
Male,15 - 16,Both parents,Secondary school,We meet our needs but can't afford luxuries,SS3,Humanities,Excellent,Excellent,Nil,Nil,Nil,Good,Good,Good,Nil,Nil,Nil,Less than 5 hours,Occasionally,Every day,Never,Never,Sometimes,Somewhat confident,Yes,To meet family expectations,70% - 100%,Average
Male,15 - 16,Guardian,Post-graduate education,We are financially comfortable,SS3,Science,Good,Fair,Good,Good,Good,Nil,Nil,Nil,Nil,Nil,Nil,More than 15 hours,Occasionally,Most days,Never,Never,Never,Somewhat confident,No,To avoid being bored at home,60% - 69%,Average
Male,15 - 16,Both parents,Post-graduate education,We are financially comfortable,SS3,Science,Good,Excellent,Fair,Good,Fair,Nil,Nil,Nil,Nil,Nil,Nil,More than 15 hours,Regularly,Every day,Occasionally,Never,Sometimes,Somewhat confident,Yes,To prepare for a good career,70% - 100%,Average
Male,15 - 16,Both parents,Post-graduate education,We are financially comfortable,SS3,Science,Good,Fair,Good,Fair,Good,Nil,Nil,Nil,Nil,Nil,Nil,Less than 5 hours,Occasionally,Every day,Never,Never,Sometimes,Somewhat confident,No,To prepare for a good career,60% - 69%,Average
Female,15 - 16,Both parents,Higher Education,We are financially comfortable,SS3,Humanities,Good,Excellent,Nil,Nil,Nil,Excellent,Good,Good,Nil,Nil,Nil,Less than 5 hours,No,Every day,Never,Occasionally,Never,Somewhat confident,Yes,To prepare for a good career,70% - 100%,Strong
Female,15 - 16,Both parents,Secondary school,We meet our needs but can't afford luxuries,SS1,Science,Fair,Excellent,Excellent,Excellent,Excellent,Nil,Nil,Nil,Nil,Nil,Nil,Less than 5 hours,Regularly,Every day,Frequently,Occasionally,Sometimes,Very confident,I'm not sure,To prepare for a good career,70% - 100%,Strong
Male,17 - 18,Single parent,Primary school,We meet our needs but can't afford luxuries,SS1,Science,Excellent,Good,Good,Good,Good,Nil,Nil,Nil,Nil,Nil,Nil,Less than 5 hours,No,Every day,Never,Never,Sometimes,Somewhat confident,No,To prepare for a good career,60% - 69%,Average
Male,15 - 16,Both parents,Higher Education,We struggle to meet basic needs,SS1,Science,Excellent,Excellent,Excellent,Excellent,Excellent,Nil,Nil,Nil,Nil,Nil,Nil,More than 10 hours,Regularly,Every day,Never,Frequently,Regularly,Very confident,Yes,To learn and gain knowledge,70% - 100%,Strong
Female,12 - 14,Single parent,Higher Education,We are financially comfortable,SS3,Humanities,Good,Fair,Nil,Nil,Nil,Good,Good,Excellent,Nil,Nil,Nil,Less than 5 hours,Occasionally,Most days,Occasionally,Never,Never,Somewhat confident,I'm not sure,To meet family expectations,60% - 69%,Average
Female,15 - 16,Both parents,Higher Education,We meet our needs but can't afford luxuries,SS3,Science,Good,Fair,Good,Good,Fair,Nil,Nil,Nil,Nil,Nil,Nil,5 - 10 hours,No,Every day,Never,Occasionally,Sometimes,Not confident,Yes,To prepare for a good career,40% - 59%,Weak
Male,15 - 16,Both parents,Post-graduate education,We are financially comfortable,SS3,Science,Fair,Excellent,Good,Good,Good,Nil,Nil,Nil,Nil,Nil,Nil,5 - 10 hours,Occasionally,Every day,Never,Never,Regularly,Very confident,I'm not sure,To learn and gain knowledge,70% - 100%,Strong
Female,15 - 16,Both parents,Higher Education,We can afford some luxuries,SS3,Commercial,Good,Fair,Nil,Nil,Nil,Excellent,Good,Excellent,Excellent,Excellent,Fair,More than 10 hours,Regularly,Every day,Never,Occasionally,Sometimes,Somewhat confident,Yes,To prepare for a good career,70% - 100%,Strong
Male,15 - 16,Both parents,Post-graduate education,We are financially comfortable,SS3,Science,Good,Excellent,Good,Good,Fair,Nil,Nil,Nil,Nil,Nil,Nil,More than 15 hours,No,Every day,Never,Occasionally,Regularly,Somewhat confident,Yes,To prepare for a good career,70% - 100%,Strong
Female,12 - 14,Both parents,Higher Education,We can afford some luxuries,SS3,Science,Excellent,Good,Excellent,Fair,Good,Nil,Nil,Nil,Nil,Nil,Nil,5 - 10 hours,No,Every day,Never,Never,Regularly,Somewhat confident,Yes,To prepare for a good career,60% - 69%,Average
Female,15 - 16,Both parents,Post-graduate education,We are financially comfortable,SS3,Science,Good,Good,Good,Good,Fair,Nil,Nil,Nil,Nil,Nil,Nil,Less than 5 hours,Occasionally,Every day,Never,Never,Sometimes,Somewhat confident,Yes,To prepare for a good career,60% - 69%,Average
Female,12 - 14,Both parents,Higher Education,We are financially comfortable,SS3,Science,Excellent,Excellent,Excellent,Excellent,Excellent,Nil,Nil,Nil,Nil,Nil,Nil,5 - 10 hours,Occasionally,Every day,Never,Never,Regularly,Very confident,Yes,To prepare for a good career,70% - 100%,Average
Female,15 - 16,Both parents,Higher Education,We meet our needs but can't afford luxuries,SS3,Humanities,Excellent,Good,Nil,Nil,Nil,Excellent,Good,Excellent,Nil,Nil,Nil,Less than 5 hours,Regularly,Every day,Never,Never,Regularly,Somewhat confident,No,To prepare for a good career,70% - 100%,Average
Female,15 - 16,Both parents,Secondary school,We meet our needs but can't afford luxuries,SS3,Humanities,Excellent,Good,Nil,Nil,Nil,Excellent,Good,Excellent,Nil,Nil,Nil,Less than 5 hours,Regularly,Every day,Never,Never,Sometimes,Somewhat confident,Yes,To prepare for a good career,70% - 100%,Strong
Female,12 - 14,Single parent,Secondary school,We meet our needs but can't afford luxuries,SS2,Humanities,Excellent,Fair,Nil,Nil,Nil,Excellent,Fair,Good,Nil,Nil,Nil,Less than 5 hours,No,Every day,Never,Never,Sometimes,Somewhat confident,I'm not sure,To prepare for a good career,70% - 100%,Strong
Female,15 - 16,Both parents,No formal education,We struggle to meet basic needs,SS3,Humanities,Good,Fair,Nil,Nil,Nil,Fair,Fair,Fair,Nil,Nil,Nil,Less than 5 hours,Occasionally,Every day,Never,Never,Regularly,Somewhat confident,Yes,To learn and gain knowledge,Below 40%,Average
Female,15 - 16,Single parent,Higher Education,We meet our needs but can't afford luxuries,SS2,Science,Good,Excellent,Fair,Good,Good,Nil,Nil,Nil,Nil,Nil,Nil,Less than 5 hours,Regularly,Every day,Never,Never,Sometimes,Somewhat confident,I'm not sure,To prepare for a good career,60% - 69%,Average
Female,15 - 16,Both parents,Higher Education,We meet our needs but can't afford luxuries,SS3,Commercial,Excellent,Poor,Nil,Nil,Nil,Nil,Nil,Nil,Good,Good,Excellent,Less than 5 hours,Regularly,Every day,Never,Never,Sometimes,Not confident,I'm not sure,To learn and gain knowledge,70% - 100%,Strong
Female,15 - 16,Both parents,Post-graduate education,We are financially comfortable,SS3,Humanities,Fair,Good,Nil,Nil,Nil,Good,Good,Excellent,Nil,Nil,Nil,Less than 5 hours,No,Most days,Never,Occasionally,Never,Not confident,No,To prepare for a good career,70% - 100%,Average
Female,17 - 18,Both parents,Higher Education,We can afford some luxuries,SS3,Humanities,Excellent,Excellent,Nil,Nil,Nil,Excellent,Good,Excellent,Nil,Nil,Nil,5 - 10 hours,Regularly,Every day,Occasionally,Never,Regularly,Very confident,No,To learn and gain knowledge,60% - 69%,Average
Female,15 - 16,Both parents,Secondary school,We struggle to meet basic needs,SS3,Humanities,Excellent,Excellent,Nil,Nil,Nil,Excellent,Good,Excellent,Nil,Nil,Nil,5 - 10 hours,Regularly,Every day,Never,Never,Regularly,Very confident,Yes,To learn and gain knowledge,60% - 69%,Strong
Female,12 - 14,Both parents,Higher Education,We struggle to meet basic needs,SS2,Science,Excellent,Good,Good,Excellent,Good,Nil,Nil,Nil,Nil,Nil,Nil,Less than 5 hours,No,Every day,Frequently,Never,Sometimes,Not confident,I'm not sure,To prepare for a good career,70% - 100%,Strong
Female,15 - 16,Single parent,Primary school,We struggle to meet basic needs,SS2,Science,Good,Excellent,Good,Poor,Poor,Nil,Nil,Nil,Nil,Nil,Nil,Less than 5 hours,No,Every day,Frequently,Occasionally,Never,Not confident,I'm not sure,To prepare for a good career,60% - 69%,Average
Female,15 - 16,Single parent,Higher Education,We can afford some luxuries,SS3,Humanities,Excellent,Good,Nil,Nil,Nil,Good,Excellent,Excellent,Nil,Nil,Nil,5 - 10 hours,Regularly,Every day,Never,Occasionally,Sometimes,Not confident,No,To avoid being bored at home,60% - 69%,Average
Female,17 - 18,Single parent,Higher Education,We are financially comfortable,SS3,Humanities,Excellent,Good,Nil,Nil,Nil,Good,Excellent,Excellent,Nil,Nil,Nil,5 - 10 hours,Regularly,Every day,Frequently,Frequently,Regularly,Somewhat confident,Yes,To learn and gain knowledge,60% - 69%,Average
Male,15 - 16,Both parents,Secondary school,We meet our needs but can't afford luxuries,SS2,Humanities,Excellent,Excellent,Nil,Nil,Nil,Good,Excellent,Excellent,Nil,Nil,Nil,Less than 5 hours,Occasionally,Every day,Occasionally,Never,Never,Very confident,I'm not sure,To learn and gain knowledge,70% - 100%,Strong
Male,12 - 14,Both parents,Secondary school,We struggle to meet basic needs,SS1,Science,Good,Good,Fair,Good,Fair,Nil,Nil,Nil,Nil,Nil,Nil,More than 10 hours,No,Most days,Frequently,Frequently,Regularly,Very confident,No,To learn and gain knowledge,40% - 59%,Weak
Female,15 - 16,Both parents,Secondary school,We struggle to meet basic needs,SS3,Science,Good,Fair,Fair,Fair,Poor,Nil,Nil,Nil,Nil,Nil,Nil,Less than 5 hours,No,Every day,Never,Never,Regularly,Somewhat confident,I'm not sure,To learn and gain knowledge,40% - 59%,Average
Female,12 - 14,Both parents,Higher Education,We can afford some luxuries,SS3,Science,Good,Fair,Good,Good,Fair,Nil,Nil,Nil,Nil,Nil,Nil,Less than 5 hours,Regularly,Every day,Frequently,Never,Sometimes,Somewhat confident,Yes,To avoid being bored at home,Below 40%,Weak
Female,15 - 16,Both parents,Secondary school,We struggle to meet basic needs,SS1,Science,Fair,Good,Fair,Good,Fair,Nil,Nil,Nil,Nil,Nil,Nil,Less than 5 hours,No,Every day,Never,Never,Regularly,Not confident,Yes,To learn and gain knowledge,40% - 59%,Average
Female,15 - 16,Both parents,Secondary school,We can afford some luxuries,SS1,Science,Good,Good,Excellent,Fair,Good,Nil,Nil,Nil,Nil,Nil,Nil,Less than 5 hours,No,Every day,Frequently,Never,Regularly,Somewhat confident,Yes,To learn and gain knowledge,60% - 69%,Average
Male,12 - 14,Single parent,Higher Education,We struggle to meet basic needs,SS2,Science,Fair,Poor,Fair,Good,Excellent,Nil,Nil,Nil,Nil,Nil,Nil,Less than 5 hours,Regularly,Every day,Never,Frequently,Regularly,Somewhat confident,No,To avoid being bored at home,Below 40%,Weak
Female,15 - 16,Both parents,Secondary school,We meet our needs but can't afford luxuries,SS1,Science,Good,Fair,Good,Good,Fair,Nil,Nil,Nil,Nil,Nil,Nil,Less than 5 hours,Regularly,Occasionally,Frequently,Never,Never,Somewhat confident,Yes,To learn and gain knowledge,40% - 59%,Average
Male,15 - 16,Both parents,Secondary school,We can afford some luxuries,SS2,Science,Excellent,Good,Excellent,Excellent,Good,Nil,Nil,Nil,Nil,Nil,Nil,More than 10 hours,Regularly,Every day,Frequently,Frequently,Regularly,Very confident,Yes,To learn and gain knowledge,70% - 100%,Strong
Female,12 - 14,Both parents,Secondary school,We struggle to meet basic needs,SS1,Science,Fair,Fair,Poor,Fair,Poor,Nil,Nil,Nil,Nil,Nil,Nil,Less than 5 hours,No,Occasionally,Never,Never,Regularly,Somewhat confident,I'm not sure,To learn and gain knowledge,Below 40%,Weak
Male,15 - 16,Both parents,Secondary school,We meet our needs but can't afford luxuries,SS2,Science,Fair,Fair,Fair,Good,Excellent,Nil,Nil,Nil,Nil,Nil,Nil,Less than 5 hours,No,Occasionally,Never,Frequently,Regularly,Somewhat confident,No,To learn and gain knowledge,40% - 59%,Average
Female,12 - 14,Single parent,Secondary school,We can afford some luxuries,SS1,Science,Fair,Good,Good,Good,Fair,Nil,Nil,Nil,Nil,Nil,Nil,5 - 10 hours,No,Every day,Never,Never,Regularly,Somewhat confident,Yes,To learn and gain knowledge,60% - 69%,Average
Male,15 - 16,Both parents,Higher Education,We struggle to meet basic needs,SS2,Science,Excellent,Good,Good,Fair,Excellent,Nil,Nil,Nil,Nil,Nil,Nil,More than 10 hours,Regularly,Every day,Frequently,Frequently,Regularly,Somewhat confident,Yes,To learn and gain knowledge,70% - 100%,Strong
Female,15 - 16,Both parents,Secondary school,We meet our needs but can't afford luxuries,SS1,Humanities,Excellent,Good,Nil,Nil,Nil,Good,Excellent,Fair,Nil,Nil,Nil,More than 10 hours,Regularly,Every day,Frequently,Frequently,Regularly,Very confident,Yes,To learn and gain knowledge,70% - 100%,Strong
Male,12 - 14,Single parent,Higher Education,We meet our needs but can't afford luxuries,SS1,Humanities,Good,Fair,Nil,Nil,Nil,Good,Excellent,Fair,Nil,Nil,Nil,5 - 10 hours,No,Every day,Never,Never,Never,Not confident,No,To prepare for a good career,40% - 59%,Average
Female,15 - 16,Both parents,Higher Education,We can afford some luxuries,SS2,Humanities,Good,Good,Nil,Nil,Nil,Good,Good,Good,Nil,Nil,Nil,More than 10 hours,Regularly,Every day,Frequently,Never,Never,Somewhat confident,Yes,To learn and gain knowledge,60% - 69%,Average
Male,15 - 16,Both parents,Secondary school,We meet our needs but can't afford luxuries,SS1,Humanities,Excellent,Fair,Nil,Nil,Nil,Good,Fair,Good,Nil,Nil,Nil,Less than 5 hours,No,Occasionally,Frequently,Frequently,Regularly,Very confident,Yes,To learn and gain knowledge,70% - 100%,Average
Female,15 - 16,Single parent,Secondary school,We meet our needs but can't afford luxuries,SS2,Humanities,Fair,Fair,Nil,Nil,Nil,Fair,Fair,Good,Nil,Nil,Nil,Less than 5 hours,No,Occasionally,Never,Frequently,Regularly,Somewhat confident,No,To learn and gain knowledge,40% - 59%,Weak
Male,15 - 16,Both parents,Higher Education,We can afford some luxuries,SS1,Humanities,Good,Good,Nil,Nil,Nil,Excellent,Good,Good,Nil,Nil,Nil,More than 10 hours,Regularly,Every day,Never,Frequently,Never,Very confident,Yes,To learn and gain knowledge,60% - 69%,Strong
Female,12 - 14,Guardian,Secondary school,We struggle to meet basic needs,SS1,Humanities,Fair,Poor,Nil,Nil,Nil,Good,Fair,Good,Nil,Nil,Nil,5 - 10 hours,No,Every day,Never,Never,Never,Somewhat confident,No,To learn and gain knowledge,60% - 69%,Average
